objectid,fid_geocod,loc_name,status,score,match_type,match_addr,addr_type,type,placename,place_addr,phone,url,rank,addbldg,addnum,addnumfrom,addnumto,side,stpredir,stpretype,stname,sttype,stdir,staddr,nbrhd,city,subregion,region,postal,postalext,country,langcode,distance,x,y,displayx,displayy,xmin,xmax,ymin,ymax,arc_addres,arc_neighb,arc_city,arc_subreg,arc_region,arc_postal,arc_post_1,arc_countr,field1,report_num,address,city_1,zip,lat,long,fid_edgwoo,id,buff_dist
158,313,USA.PointAddress,00:00:00,100.0,00:00:00,"1008 Moeller Ave, Akron, Ohio, 44307",PointAddress,,,,,,,,1008,,,L,,,Moeller,Ave,,1008 Moeller Ave,,Akron,,Ohio,44307,,USA,ENG,0.0,-81.545008,41.066641,-81.545291,41.06664,-81.546008,-81.544008,41.065641,41.067641,1008 MOELLER AV,,Akron,,,44307,,,313,10002577,1008 MOELLER AV,Akron,44307,,,0,0,2640.0
159,241,USA.PointAddress,00:00:00,100.0,00:00:00,"1004 Raymond St, Akron, Ohio, 44307",PointAddress,,,,,,,,1004,,,L,,,Raymond,St,,1004 Raymond St,,Akron,,Ohio,44307,,USA,ENG,0.0,-81.541088,41.06667,-81.541351,41.06667,-81.542088,-81.540088,41.06567,41.06767,1004 RAYMOND ST,,Akron,,,44307,,,241,9036633,1004 RAYMOND ST,Akron,44307,,,0,0,2640.0
160,277,USA.PointAddress,00:00:00,100.0,00:00:00,"1006 Haynes St, Akron, Ohio, 44307",PointAddress,,,,,,,,1006,,,L,,,Haynes,St,,1006 Haynes St,,Akron,,Ohio,44307,,USA,ENG,0.0,-81.542078,41.066671,-81.542321,41.06668,-81.543078,-81.541078,41.065671,41.067671,1006 HAYNES ST,,Akron,,,44307,,,277,11025179,1006 HAYNES ST,Akron,44307,,,0,0,2640.0
161,155,USA.PointAddress,00:00:00,92.43,00:00:00,"1000 Rhodes Ave, Akron, Ohio, 44307",PointAddress,,,,,,,,1000,,,L,,,Rhodes,Ave,,1000 Rhodes Ave,,Akron,,Ohio,44307,,USA,ENG,0.0,-81.538518,41.06668,-81.538851,41.06668,-81.539518,-81.537518,41.06568,41.06768,1000 S RHODES AV,,Akron,,,44307,,,155,12026681,1000 S RHODES AV,Akron,44307,,,0,0,2640.0
162,33576,USA.StreetName,00:00:00,100.0,00:00:00,"Celina Ave, Akron, Ohio, 44307",StreetName,,,,,,,,,,,,,,Celina,Ave,,Celina Ave,,Akron,,Ohio,44307,,USA,ENG,0.0,-81.547922,41.066686,-81.547922,41.066686,-81.549922,-81.545922,41.064686,41.068686,CELINA AV,,Akron,,,44307,,,33576,13006384,CELINA AV,Akron,44307,,,0,0,2640.0
163,226,USA.PointAddress,00:00:00,100.0,00:00:00,"1003 Snyder St, Akron, Ohio, 44307",PointAddress,,,,,,,,1003,,,R,,,Snyder,St,,1003 Snyder St,,Akron,,Ohio,44307,,USA,ENG,0.0,-81.542945,41.06669,-81.542701,41.06668,-81.543945,-81.541945,41.06569,41.06769,1003 SNYDER ST,,Akron,,,44307,,,226,8011593,1003 SNYDER ST,Akron,44307,,,0,0,2640.0
164,283,USA.PointAddress,00:00:00,100.0,00:00:00,"1006 Snyder St, Akron, Ohio, 44307",PointAddress,,,,,,,,1006,,,L,,,Snyder,St,,1006 Snyder St,,Akron,,Ohio,44307,,USA,ENG,0.0,-81.543018,41.066691,-81.543271,41.0667,-81.544018,-81.542018,41.065691,41.067691,1006 SNYDER ST,,Akron,,,44307,,,283,11021058,1006 SNYDER ST,Akron,44307,,,0,0,2640.0
165,255,USA.PointAddress,00:00:00,100.0,00:00:00,"1005 Lane St, Akron, Ohio, 44307",PointAddress,,,,,,,,1005,,,R,,,Lane,St,,1005 Lane St,,Akron,,Ohio,44307,,USA,ENG,0.0,-81.543955,41.066709,-81.543671,41.0667,-81.544955,-81.542955,41.065709,41.067709,1005 LANE ST,,Akron,,,44307,,,255,14013692,1005 LANE ST,Akron,44307,,,0,0,2640.0
166,217,USA.PointAddress,00:00:00,100.0,00:00:00,"1003 Celina Ave, Akron, Ohio, 44307",PointAddress,,,,,,,,1003,,,R,,,Celina,Ave,,1003 Celina Ave,,Akron,,Ohio,44307,,USA,ENG,0.0,-81.547885,41.06675,-81.547661,41.06675,-81.548885,-81.546885,41.06575,41.06775,1003 CELINA AVE,,,,,44307,,,217,96-032611,1003 CELINA AVE,,44307,,,0,0,2640.0
167,231,USA.PointAddress,00:00:00,100.0,00:00:00,"1004 Celina Ave, Akron, Ohio, 44307",PointAddress,,,,,,,,1004,,,L,,,Celina,Ave,,1004 Celina Ave,,Akron,,Ohio,44307,,USA,ENG,0.0,-81.547958,41.066751,-81.548221,41.06675,-81.548958,-81.546958,41.065751,41.067751,1004 CELINA AV,,Akron,,,44307,,,231,13003024,1004 CELINA AV,Akron,44307,,,0,0,2640.0
168,256,USA.PointAddress,00:00:00,100.0,00:00:00,"1005 Laurel Ave, Akron, Ohio, 44307",PointAddress,,,,,,,,1005,,,R,,,Laurel,Ave,,1005 Laurel Ave,,Akron,,Ohio,44307,,USA,ENG,0.0,-81.546936,41.06676,-81.546671,41.06676,-81.547936,-81.545936,41.06576,41.06776,1005 LAUREL AV,,Akron,,,44307,,,256,9016630,1005 LAUREL AV,Akron,44307,,,0,0,2640.0
169,221,USA.PointAddress,00:00:00,100.0,00:00:00,"1003 Leroy Ave, Akron, Ohio, 44307",PointAddress,,,,,,,,1003,,,R,,,Leroy,Ave,,1003 Leroy Ave,,Akron,,Ohio,44307,,USA,ENG,0.0,-81.545925,41.06677,-81.545691,41.06677,-81.546925,-81.544925,41.06577,41.06777,1003 LEROY AVE,,,,,44307,,,221,98-018016,1003 LEROY AVE,,44307,,,0,0,2640.0
170,237,USA.PointAddress,00:00:00,100.0,00:00:00,"1004 Lane St, Akron, Ohio, 44307",PointAddress,,,,,,,,1004,,,L,,,Lane,St,,1004 Lane St,,Akron,,Ohio,44307,,USA,ENG,0.0,-81.544028,41.066771,-81.544271,41.06679,-81.545028,-81.543028,41.065771,41.067771,1004 LANE ST,,Akron,,,44307,,,237,7017134,1004 LANE ST,Akron,44307,,,0,0,2640.0
171,238,USA.PointAddress,00:00:00,100.0,00:00:00,"1004 Laurel Ave, Akron, Ohio, 44307",PointAddress,,,,,,,,1004,,,L,,,Laurel,Ave,,1004 Laurel Ave,,Akron,,Ohio,44307,,USA,ENG,0.0,-81.547008,41.066781,-81.547261,41.06678,-81.548008,-81.546008,41.065781,41.067781,1004 LAUREL AV,,,,,44307,,,238,97-007716,1004 LAUREL AV,,44307,,,0,0,2640.0
172,239,USA.PointAddress,00:00:00,100.0,00:00:00,"1004 Leroy Ave, Akron, Ohio, 44307",PointAddress,,,,,,,,1004,,,L,,,Leroy,Ave,,1004 Leroy Ave,,Akron,,Ohio,44307,,USA,ENG,0.0,-81.545998,41.066781,-81.546281,41.06678,-81.546998,-81.544998,41.065781,41.067781,1004 LEROY AV,,,,,44307,,,239,96-029112,1004 LEROY AV,,44307,,,0,0,2640.0
173,24781,USA.StreetAddress,00:00:00,100.0,00:00:00,"721 Fleming Dr, Akron, Ohio, 44311",StreetAddress,,,,,,,,721,799,601,L,,,Fleming,Dr,,721 Fleming Dr,,Akron,,Ohio,44311,,USA,ENG,0.0,-81.534072,41.066805,-81.534072,41.066805,-81.535072,-81.533072,41.065805,41.067805,721 FLEMING DR,,Akron,,,44311,,,24781,8008965,721 FLEMING DR,Akron,44311,,,0,0,2640.0
174,32573,USA.PointAddress,00:00:00,100.0,00:00:00,"999 Haynes St, Akron, Ohio, 44307",PointAddress,,,,,,,,999,,,R,,,Haynes,St,,999 Haynes St,,Akron,,Ohio,44307,,USA,ENG,0.0,-81.542005,41.066811,-81.541741,41.06681,-81.543005,-81.541005,41.065811,41.067811,999 HAYNES ST,,Akron,,,44307,,,32573,8027538,999 HAYNES ST,Akron,44307,,,0,0,2640.0
175,212,USA.PointAddress,00:00:00,100.0,00:00:00,"1002 Raymond St, Akron, Ohio, 44307",PointAddress,,,,,,,,1002,,,L,,,Raymond,St,,1002 Raymond St,,Akron,,Ohio,44307,,USA,ENG,0.0,-81.541088,41.066811,-81.541351,41.06681,-81.542088,-81.540088,41.065811,41.067811,1002 RAYMOND ST,,Akron,,,44307,,,212,9016780,1002 RAYMOND ST,Akron,44307,,,0,0,2640.0
176,24541,USA.StreetAddress,00:00:00,100.0,00:00:00,"714 Fleming Dr, Akron, Ohio, 44311",StreetAddress,,,,,,,,714,798,600,R,,,Fleming,Dr,,714 Fleming Dr,,Akron,,Ohio,44311,,USA,ENG,0.0,-81.533974,41.066811,-81.533974,41.066811,-81.534974,-81.532974,41.065811,41.067811,714 FLEMING DR,,Akron,,,44311,,,24541,8031382,714 FLEMING DR,Akron,44311,,,0,0,2640.0
177,24542,USA.StreetAddress,00:00:00,100.0,00:00:00,"714 Fleming Dr, Akron, Ohio, 44311",StreetAddress,,,,,,,,714,798,600,R,,,Fleming,Dr,,714 Fleming Dr,,Akron,,Ohio,44311,,USA,ENG,0.0,-81.533974,41.066811,-81.533974,41.066811,-81.534974,-81.532974,41.065811,41.067811,714 FLEMING DR A,,,,,44311,,,24542,04-029377,714 FLEMING DR A,,44311,,,0,0,2640.0
178,180,USA.PointAddress,00:00:00,100.0,00:00:00,"1001 Laurel Ave, Akron, Ohio, 44307",PointAddress,,,,,,,,1001,,,R,,,Laurel,Ave,,1001 Laurel Ave,,Akron,,Ohio,44307,,USA,ENG,0.0,-81.546936,41.06682,-81.546671,41.06684,-81.547936,-81.545936,41.06582,41.06782,1001 LAUREL AV,,Akron,,,44307,,,180,9027177,1001 LAUREL AV,Akron,44307,,,0,0,2640.0
179,24487,USA.StreetAddress,00:00:00,100.0,00:00:00,"712 Fleming Dr, Akron, Ohio, 44311",StreetAddress,,,,,,,,712,798,600,R,,,Fleming,Dr,,712 Fleming Dr,,Akron,,Ohio,44311,,USA,ENG,0.0,-81.53396,41.066824,-81.53396,41.066824,-81.53496,-81.53296,41.065824,41.067824,712 FLEMING DR,,Akron,,,44311,,,24487,10031011,712 FLEMING DR,Akron,44311,,,0,0,2640.0
180,32584,USA.PointAddress,00:00:00,100.0,00:00:00,"999 Snyder St, Akron, Ohio, 44307",PointAddress,,,,,,,,999,,,R,,,Snyder,St,,999 Snyder St,,Akron,,Ohio,44307,,USA,ENG,0.0,-81.542935,41.06683,-81.542701,41.06682,-81.543935,-81.541935,41.06583,41.06783,999 SNYDER ST,,Akron,,,44307,,,32584,8014381,999 SNYDER ST,Akron,44307,,,0,0,2640.0
181,24402,USA.StreetAddress,00:00:00,100.0,00:00:00,"710 Fleming Dr, Akron, Ohio, 44311",StreetAddress,,,,,,,,710,798,600,R,,,Fleming,Dr,,710 Fleming Dr,,Akron,,Ohio,44311,,USA,ENG,0.0,-81.533946,41.066837,-81.533946,41.066837,-81.534946,-81.532946,41.065837,41.067837,710 FLEMING DR,,Akron,,,44311,,,24402,9000984,710 FLEMING DR,Akron,44311,,,0,0,2640.0
182,24330,USA.StreetAddress,00:00:00,100.0,00:00:00,"708 Fleming Dr, Akron, Ohio, 44311",StreetAddress,,,,,,,,708,798,600,R,,,Fleming,Dr,,708 Fleming Dr,,Akron,,Ohio,44311,,USA,ENG,0.0,-81.533931,41.066851,-81.533931,41.066851,-81.534931,-81.532931,41.065851,41.067851,708 FLEMING DR,,Akron,,,44311,,,24330,10035148,708 FLEMING DR,Akron,44311,,,0,0,2640.0
183,32577,USA.PointAddress,00:00:00,100.0,00:00:00,"999 Moeller Ave, Akron, Ohio, 44307",PointAddress,,,,,,,,999,,,R,,,Moeller,Ave,,999 Moeller Ave,,Akron,,Ohio,44307,,USA,ENG,0.0,-81.544925,41.06686,-81.544691,41.06681,-81.545925,-81.543925,41.06586,41.06786,999 MOELLER AV,,Akron,,,44307,,,32577,12014438,999 MOELLER AV,Akron,44307,,,0,0,2640.0
184,132,USA.PointAddress,00:00:00,100.0,00:00:00,"1000 Celina Ave, Akron, Ohio, 44307",PointAddress,,,,,,,,1000,,,L,,,Celina,Ave,,1000 Celina Ave,,Akron,,Ohio,44307,,USA,ENG,0.0,-81.547958,41.066861,-81.548211,41.06686,-81.548958,-81.546958,41.065861,41.067861,1000 CELINA AV,,Akron,,,44307,,,132,8019110,1000 CELINA AV,Akron,44307,,,0,0,2640.0
185,133,USA.PointAddress,00:00:00,90.92,00:00:00,"1000 Celina Ave, Akron, Ohio, 44307",PointAddress,,,,,,,,1000,,,L,,,Celina,Ave,,1000 Celina Ave,,Akron,,Ohio,44307,,USA,ENG,0.0,-81.547958,41.066861,-81.548211,41.06686,-81.548958,-81.546958,41.065861,41.067861,1000 CELINA ST,,,,,44307,,,133,02-037979,1000 CELINA ST,,44307,,,0,0,2640.0
186,24257,USA.StreetAddress,00:00:00,100.0,00:00:00,"706 Fleming Dr, Akron, Ohio, 44311",StreetAddress,,,,,,,,706,798,600,R,,,Fleming,Dr,,706 Fleming Dr,,Akron,,Ohio,44311,,USA,ENG,0.0,-81.533917,41.066864,-81.533917,41.066864,-81.534917,-81.532917,41.065864,41.067864,706 FLEMING DR,,Akron,,,44311,,,24257,8018007,706 FLEMING DR,Akron,44311,,,0,0,2640.0
187,32576,USA.PointAddress,00:00:00,100.0,00:00:00,"999 La Croix Ave, Akron, Ohio, 44307",PointAddress,,,,,,,,999,,,R,,,La Croix,Ave,,999 La Croix Ave,,Akron,,Ohio,44307,,USA,ENG,0.0,-81.548805,41.066869,-81.548581,41.06687,-81.549805,-81.547805,41.065869,41.067869,999 LA CROIX AV,,Akron,,,44307,,,32576,14022062,999 LA CROIX AV,Akron,44307,,,0,0,2640.0
188,24229,USA.StreetAddress,00:00:00,90.92,00:00:00,"704 Fleming Dr, Akron, Ohio, 44311",StreetAddress,,,,,,,,704,798,600,R,,,Fleming,Dr,,704 Fleming Dr,,Akron,,Ohio,44311,,USA,ENG,0.0,-81.53391,41.066871,-81.53391,41.066871,-81.53491,-81.53291,41.065871,41.067871,704C FLEMING ST,,,,,44311,,,24229,02-006941,704C FLEMING ST,,44311,,,0,0,2640.0
189,24201,USA.StreetAddress,00:00:00,100.0,00:00:00,"704 Fleming Dr, Akron, Ohio, 44311",StreetAddress,,,,,,,,704,798,600,R,,,Fleming,Dr,,704 Fleming Dr,,Akron,,Ohio,44311,,USA,ENG,0.0,-81.533903,41.066877,-81.533903,41.066877,-81.534903,-81.532903,41.065877,41.067877,704 FLEMING DR,,Akron,,,44311,,,24201,8005354,704 FLEMING DR,Akron,44311,,,0,0,2640.0
190,24203,USA.StreetAddress,00:00:00,100.0,00:00:00,"704 Fleming Dr, Akron, Ohio, 44311",StreetAddress,,,,,,,,704,798,600,R,,,Fleming,Dr,,704 Fleming Dr,,Akron,,Ohio,44311,,USA,ENG,0.0,-81.533903,41.066877,-81.533903,41.066877,-81.534903,-81.532903,41.065877,41.067877,704 FLEMING DR APT A,,,,,44311,,,24203,03-031997,704 FLEMING DR APT A,,44311,,,0,0,2640.0
191,208,USA.PointAddress,00:00:00,100.0,00:00:00,"1002 La Croix Ave, Akron, Ohio, 44307",PointAddress,,,,,,,,1002,,,L,,,La Croix,Ave,,1002 La Croix Ave,,Akron,,Ohio,44307,,USA,ENG,0.0,-81.548878,41.066882,-81.549091,41.06689,-81.549878,-81.547878,41.065882,41.067882,1002 LA CROIX AV,,Akron,,,44307,,,208,10000624,1002 LA CROIX AV,Akron,44307,,,0,0,2640.0
192,182,USA.PointAddress,00:00:00,100.0,00:00:00,"1001 Leroy Ave, Akron, Ohio, 44307",PointAddress,,,,,,,,1001,,,R,,,Leroy,Ave,,1001 Leroy Ave,,Akron,,Ohio,44307,,USA,ENG,0.0,-81.545915,41.06689,-81.545691,41.06689,-81.546915,-81.544915,41.06589,41.06789,1001 LEROY AV,,Akron,,,44307,,,182,8026958,1001 LEROY AV,Akron,44307,,,0,0,2640.0
193,183,USA.PointAddress,00:00:00,100.0,00:00:00,"1001 Leroy Ave, Akron, Ohio, 44307",PointAddress,,,,,,,,1001,,,R,,,Leroy,Ave,,1001 Leroy Ave,,Akron,,Ohio,44307,,USA,ENG,0.0,-81.545915,41.06689,-81.545691,41.06689,-81.546915,-81.544915,41.06589,41.06789,1001 LEROY AVE APT 2,,,,,44307,,,183,05-018824,1001 LEROY AVE APT 2,,44307,,,0,0,2640.0
194,24126,USA.StreetAddress,00:00:00,100.0,00:00:00,"702 Fleming Dr, Akron, Ohio, 44311",StreetAddress,,,,,,,,702,798,600,R,,,Fleming,Dr,,702 Fleming Dr,,Akron,,Ohio,44311,,USA,ENG,0.0,-81.533889,41.06689,-81.533889,41.06689,-81.534889,-81.532889,41.06589,41.06789,702 FLEMING DR,,Akron,,,44311,,,24126,8029199,702 FLEMING DR,Akron,44311,,,0,0,2640.0
195,24127,USA.StreetAddress,00:00:00,98.5,00:00:00,"702 Fleming Dr, Akron, Ohio, 44311",StreetAddress,,,,,,,,702,798,600,R,,,Fleming,Dr,,702 Fleming Dr,,Akron,,Ohio,44311,,USA,ENG,0.0,-81.533889,41.06689,-81.533889,41.06689,-81.534889,-81.532889,41.06589,41.06789,702 FLEMMING DR,,,,,44311,,,24127,04-001219,702 FLEMMING DR,,44311,,,0,0,2640.0
196,149,USA.PointAddress,00:00:00,100.0,00:00:00,"1000 Leroy Ave, Akron, Ohio, 44307",PointAddress,,,,,,,,1000,,,L,,,Leroy,Ave,,1000 Leroy Ave,,Akron,,Ohio,44307,,USA,ENG,0.0,-81.545989,41.0669,-81.546271,41.0669,-81.546989,-81.544989,41.0659,41.0679,1000 LEROY AV,,Akron,,,44307,,,149,13022548,1000 LEROY AV,Akron,44307,,,0,0,2640.0
197,150,USA.PointAddress,00:00:00,90.92,00:00:00,"1000 Leroy Ave, Akron, Ohio, 44307",PointAddress,,,,,,,,1000,,,L,,,Leroy,Ave,,1000 Leroy Ave,,Akron,,Ohio,44307,,USA,ENG,0.0,-81.545989,41.0669,-81.546271,41.0669,-81.546989,-81.544989,41.0659,41.0679,1000 LEROY ST,,,,,44307,,,150,04-010810,1000 LEROY ST,,44307,,,0,0,2640.0
198,24026,USA.StreetAddress,00:00:00,100.0,00:00:00,"700 Fleming Dr, Akron, Ohio, 44311",StreetAddress,,,,,,,,700,798,600,R,,,Fleming,Dr,,700 Fleming Dr,,Akron,,Ohio,44311,,USA,ENG,0.0,-81.533874,41.066903,-81.533874,41.066903,-81.534874,-81.532874,41.065903,41.067903,700 FLEMING DR,,Akron,,,44311,,,24026,8018788,700 FLEMING DR,Akron,44311,,,0,0,2640.0
199,24027,USA.StreetAddress,00:00:00,100.0,00:00:00,"700 Fleming Dr, Akron, Ohio, 44311",StreetAddress,,,,,,,,700,798,600,R,,,Fleming,Dr,,700 Fleming Dr,,Akron,,Ohio,44311,,USA,ENG,0.0,-81.533874,41.066903,-81.533874,41.066903,-81.534874,-81.532874,41.065903,41.067903,700 FLEMING DR 700A,,,,,44311,,,24027,04-005634,700 FLEMING DR 700A,,44311,,,0,0,2640.0
200,23903,USA.StreetAddress,00:00:00,100.0,00:00:00,"698 Fleming Dr, Akron, Ohio, 44311",StreetAddress,,,,,,,,698,798,600,R,,,Fleming,Dr,,698 Fleming Dr,,Akron,,Ohio,44311,,USA,ENG,0.0,-81.53386,41.066917,-81.53386,41.066917,-81.53486,-81.53286,41.065917,41.067917,698 FLEMING DR,,Akron,,,44311,,,23903,8027770,698 FLEMING DR,Akron,44311,,,0,0,2640.0
201,23904,USA.StreetAddress,00:00:00,100.0,00:00:00,"698 Fleming Dr, Akron, Ohio, 44311",StreetAddress,,,,,,,,698,798,600,R,,,Fleming,Dr,,698 Fleming Dr,,Akron,,Ohio,44311,,USA,ENG,0.0,-81.53386,41.066917,-81.53386,41.066917,-81.53486,-81.53286,41.065917,41.067917,698 FLEMING DR APT B,,,,,44311,,,23904,04-041724,698 FLEMING DR APT B,,44311,,,0,0,2640.0
202,35728,USA.StreetName,00:00:00,100.0,00:00:00,"Fleming Dr, Akron, Ohio, 44311",StreetName,,,,,,,,,,,,,,Fleming,Dr,,Fleming Dr,,Akron,,Ohio,44311,,USA,ENG,0.0,-81.533895,41.066927,-81.533895,41.066927,-81.535895,-81.531895,41.064927,41.068927,FLEMING DR,,Akron,,,44311,,,35728,13022316,FLEMING DR,Akron,44311,,,0,0,2640.0
203,23827,USA.StreetAddress,00:00:00,100.0,00:00:00,"696 Fleming Dr, Akron, Ohio, 44311",StreetAddress,,,,,,,,696,798,600,R,,,Fleming,Dr,,696 Fleming Dr,,Akron,,Ohio,44311,,USA,ENG,0.0,-81.533846,41.06693,-81.533846,41.06693,-81.534846,-81.532846,41.06593,41.06793,696 FLEMING DR,,Akron,,,44311,,,23827,10015486,696 FLEMING DR,Akron,44311,,,0,0,2640.0
204,23757,USA.StreetAddress,00:00:00,100.0,00:00:00,"694 Fleming Dr, Akron, Ohio, 44311",StreetAddress,,,,,,,,694,798,600,R,,,Fleming,Dr,,694 Fleming Dr,,Akron,,Ohio,44311,,USA,ENG,0.0,-81.533832,41.066943,-81.533832,41.066943,-81.534832,-81.532832,41.065943,41.067943,694 FLEMING DR,,Akron,,,44311,,,23757,8006203,694 FLEMING DR,Akron,44311,,,0,0,2640.0
205,23758,USA.StreetAddress,00:00:00,100.0,00:00:00,"694 Fleming Dr, Akron, Ohio, 44311",StreetAddress,,,,,,,,694,798,600,R,,,Fleming,Dr,,694 Fleming Dr,,Akron,,Ohio,44311,,USA,ENG,0.0,-81.533832,41.066943,-81.533832,41.066943,-81.534832,-81.532832,41.065943,41.067943,694 FLEMING DR  APT B,,,,,44311,,,23758,05-040674,694 FLEMING DR  APT B,,44311,,,0,0,2640.0
206,23760,USA.StreetAddress,00:00:00,100.0,00:00:00,"694 Fleming Dr, Akron, Ohio, 44311",StreetAddress,,,,,,,,694,798,600,R,,,Fleming,Dr,,694 Fleming Dr,,Akron,,Ohio,44311,,USA,ENG,0.0,-81.533832,41.066943,-81.533832,41.066943,-81.534832,-81.532832,41.065943,41.067943,694 FLEMING DR APT C,,,,,44311,,,23760,02-019202,694 FLEMING DR APT C,,44311,,,0,0,2640.0
207,32460,USA.PointAddress,00:00:00,100.0,00:00:00,"994 Haynes St, Akron, Ohio, 44307",PointAddress,,,,,,,,994,,,L,,,Haynes,St,,994 Haynes St,,Akron,,Ohio,44307,,USA,ENG,0.0,-81.542078,41.066951,-81.542311,41.06696,-81.543078,-81.541078,41.065951,41.067951,994 HAYNES ST,,Akron,,,44307,,,32460,8038075,994 HAYNES ST,Akron,44307,,,0,0,2640.0
208,32528,USA.PointAddress,00:00:00,100.0,00:00:00,"997 Celina Ave, Akron, Ohio, 44307",PointAddress,,,,,,,,997,,,R,,,Celina,Ave,,997 Celina Ave,,Akron,,Ohio,44307,,USA,ENG,0.0,-81.547885,41.06697,-81.547651,41.06697,-81.548885,-81.546885,41.06597,41.06797,997 CELINA AV,,Akron,,,44307,,,32528,8031964,997 CELINA AV,Akron,44307,,,0,0,2640.0
209,32494,USA.PointAddress,00:00:00,100.0,00:00:00,"995 Snyder St, Akron, Ohio, 44307",PointAddress,,,,,,,,995,,,R,,,Snyder,St,,995 Snyder St,,Akron,,Ohio,44307,,USA,ENG,0.0,-81.542935,41.06697,-81.542791,41.06696,-81.543935,-81.541935,41.06597,41.06797,995 SNYDER ST,,Akron,,,44307,,,32494,10030117,995 SNYDER ST,Akron,44307,,,0,0,2640.0
210,32556,USA.PointAddress,00:00:00,100.0,00:00:00,"998 La Croix Ave, Akron, Ohio, 44307",PointAddress,,,,,,,,998,,,L,,,La Croix,Ave,,998 La Croix Ave,,Akron,,Ohio,44307,,USA,ENG,0.0,-81.548868,41.066992,-81.549091,41.067,-81.549868,-81.547868,41.065992,41.067992,998 LA CROIX AV,,Akron,,,44307,,,32556,8030660,998 LA CROIX AV,Akron,44307,,,0,0,2640.0
211,32484,USA.PointAddress,00:00:00,100.0,00:00:00,"995 Laurel Ave, Akron, Ohio, 44307",PointAddress,,,,,,,,995,,,R,,,Laurel,Ave,,995 Laurel Ave,,Akron,,Ohio,44307,,USA,ENG,0.0,-81.546936,41.06701,-81.546671,41.06701,-81.547936,-81.545936,41.06601,41.06801,995 LAUREL AV,,Akron,,,44307,,,32484,12030642,995 LAUREL AV,Akron,44307,,,0,0,2640.0
212,32485,USA.PointAddress,00:00:00,100.0,00:00:00,"995 Laurel Ave, Akron, Ohio, 44307",PointAddress,,,,,,,,995,,,R,,,Laurel,Ave,,995 Laurel Ave,,Akron,,Ohio,44307,,USA,ENG,0.0,-81.546936,41.06701,-81.546671,41.06701,-81.547936,-81.545936,41.06601,41.06801,995 LAUREL AVE,,,,,44307,,,32485,99-033661,995 LAUREL AVE,,44307,,,0,0,2640.0
213,32464,USA.PointAddress,00:00:00,100.0,00:00:00,"994 Moeller Ave, Akron, Ohio, 44307",PointAddress,,,,,,,,994,,,L,,,Moeller,Ave,,994 Moeller Ave,,Akron,,Ohio,44307,,USA,ENG,0.0,-81.544998,41.067011,-81.545281,41.06701,-81.545998,-81.543998,41.066011,41.068011,994 MOELLER AVE,,,,,44307,,,32464,99-006115,994 MOELLER AVE,,44307,,,0,0,2640.0
214,13721,USA.PointAddress,00:00:00,100.0,00:00:00,"352 Howe St, Akron, Ohio, 44307",PointAddress,,,,,,,,352,,,L,,,Howe,St,,352 Howe St,,Akron,,Ohio,44307,,USA,ENG,0.0,-81.539092,41.067013,-81.539091,41.06688,-81.540092,-81.538092,41.066013,41.068013,352 HOWE ST,,Akron,,,44307,,,13721,9009889,352 HOWE ST,Akron,44307,,,0,0,2640.0
215,13670,USA.PointAddress,00:00:00,100.0,00:00:00,"350 Howe St, Akron, Ohio, 44307",PointAddress,,,,,,,,350,,,L,,,Howe,St,,350 Howe St,,Akron,,Ohio,44307,,USA,ENG,0.0,-81.538981,41.067013,-81.538981,41.06688,-81.539981,-81.537981,41.066013,41.068013,350 HOWE ST,,Akron,,,44307,,,13670,10023085,350 HOWE ST,Akron,44307,,,0,0,2640.0
216,13603,USA.PointAddress,00:00:00,100.0,00:00:00,"348 Howe St, Akron, Ohio, 44307",PointAddress,,,,,,,,348,,,L,,,Howe,St,,348 Howe St,,Akron,,Ohio,44307,,USA,ENG,0.0,-81.538872,41.067013,-81.538871,41.06688,-81.539872,-81.537872,41.066013,41.068013,348 HOWE ST,,Akron,,,44307,,,13603,9018488,348 HOWE ST,Akron,44307,,,0,0,2640.0
217,32514,USA.PointAddress,00:00:00,100.0,00:00:00,"996 Leroy Ave, Akron, Ohio, 44307",PointAddress,,,,,,,,996,,,L,,,Leroy,Ave,,996 Leroy Ave,,Akron,,Ohio,44307,,USA,ENG,0.0,-81.545989,41.06702,-81.546271,41.06702,-81.546989,-81.544989,41.06602,41.06802,996 LEROY AV,,Akron,,,44307,,,32514,8021622,996 LEROY AV,Akron,44307,,,0,0,2640.0
218,14604,USA.PointAddress,00:00:00,100.0,00:00:00,"382 Howe St, Akron, Ohio, 44307",PointAddress,,,,,,,,382,,,R,,,Howe,St,,382 Howe St,,Akron,,Ohio,44307,,USA,ENG,0.0,-81.540042,41.067023,-81.540041,41.06685,-81.541042,-81.539042,41.066023,41.068023,382 HOWE ST,,Akron,,,44307,,,14604,9019095,382 HOWE ST,Akron,44307,,,0,0,2640.0
219,36502,USA.StreetAddress,00:00:00,91.4,00:00:00,"Howe St & Rhodes Ave, Akron, Ohio, 44307",StreetInt,,,,,,,,,,,,,,,,,,,,,,,,USA,,0.0,-81.538479,41.067033,-81.538479,41.067033,-81.538479,-81.538479,41.067033,41.067033,HOWE @ RHODES,,,,,44307,,,36502,03-041350,HOWE @ RHODES,,44307,,,0,0,2640.0
