objectid,fid_geocod,loc_name,status,score,match_type,match_addr,addr_type,type,placename,place_addr,phone,url,rank,addbldg,addnum,addnumfrom,addnumto,side,stpredir,stpretype,stname,sttype,stdir,staddr,nbrhd,city,subregion,region,postal,postalext,country,langcode,distance,x,y,displayx,displayy,xmin,xmax,ymin,ymax,arc_addres,arc_neighb,arc_city,arc_subreg,arc_region,arc_postal,arc_post_1,arc_countr,field1,report_num,address,city_1,zip,lat,long,fid_cv_buf,id,buff_dist
510,11896,USA.StreetAddress,00:00:00,100.0,00:00:00,"271 Spring St, Akron, Ohio, 44304",StreetAddress,,,,,,,,271,299,1,R,,,Spring,St,,271 Spring St,,Akron,,Ohio,44304,,USA,ENG,0.0,-81.50845,41.089326,-81.50845,41.089326,-81.51045,-81.50645,41.087326,41.091326,271 SPRING ST,,Akron,,,44304,,,11896,13025714,271 SPRING ST,Akron,44304,,,0,0,2640.0
511,9627,USA.StreetAddress,00:00:00,100.0,00:00:00,"186 Spring St, Akron, Ohio, 44304",StreetAddress,,,,,,,,186,298,2,L,,,Spring,St,,186 Spring St,,Akron,,Ohio,44304,,USA,ENG,0.0,-81.510209,41.089333,-81.510209,41.089333,-81.512209,-81.508209,41.087333,41.091333,186 SPRING ST,,Akron,,,44304,,,9627,11017396,186 SPRING ST,Akron,44304,,,0,0,2640.0
512,10489,USA.StreetAddress,00:00:00,100.0,00:00:00,"215 Spring St, Akron, Ohio, 44304",StreetAddress,,,,,,,,215,299,1,R,,,Spring,St,,215 Spring St,,Akron,,Ohio,44304,,USA,ENG,0.0,-81.5096,41.089338,-81.5096,41.089338,-81.5116,-81.5076,41.087338,41.091338,215 SPRING ST,,Akron,,,44304,,,10489,10020497,215 SPRING ST,Akron,44304,,,0,0,2640.0
513,10272,USA.StreetAddress,00:00:00,100.0,00:00:00,"207 Spring St, Akron, Ohio, 44304",StreetAddress,,,,,,,,207,299,1,R,,,Spring,St,,207 Spring St,,Akron,,Ohio,44304,,USA,ENG,0.0,-81.509767,41.08935,-81.509767,41.08935,-81.511767,-81.507767,41.08735,41.09135,207 SPRING ST,,Akron,,,44304,,,10272,10002349,207 SPRING ST,Akron,44304,,,0,0,2640.0
514,10229,USA.StreetAddress,00:00:00,100.0,00:00:00,"205 Spring St, Akron, Ohio, 44304",StreetAddress,,,,,,,,205,299,1,R,,,Spring,St,,205 Spring St,,Akron,,Ohio,44304,,USA,ENG,0.0,-81.509809,41.089354,-81.509809,41.089354,-81.511809,-81.507809,41.087354,41.091354,205 SPRING ST,,Akron,,,44304,,,10229,8024778,205 SPRING ST,Akron,44304,,,0,0,2640.0
515,10190,USA.StreetAddress,00:00:00,100.0,00:00:00,"203 Spring St, Akron, Ohio, 44304",StreetAddress,,,,,,,,203,299,1,R,,,Spring,St,,203 Spring St,,Akron,,Ohio,44304,,USA,ENG,0.0,-81.509851,41.089357,-81.509851,41.089357,-81.511851,-81.507851,41.087357,41.091357,203 SPRING ST,,Akron,,,44304,,,10190,9020160,203 SPRING ST,Akron,44304,,,0,0,2640.0
516,9064,USA.StreetAddress,00:00:00,100.0,00:00:00,"172 Spring St, Akron, Ohio, 44304",StreetAddress,,,,,,,,172,298,2,L,,,Spring,St,,172 Spring St,,Akron,,Ohio,44304,,USA,ENG,0.0,-81.510503,41.089361,-81.510503,41.089361,-81.512503,-81.508503,41.087361,41.091361,172 SPRING ST,,,,,44304,,,9064,97-008202,172 SPRING ST,,44304,,,0,0,2640.0
517,10012,USA.StreetAddress,00:00:00,100.0,00:00:00,"199 Spring St, Akron, Ohio, 44304",StreetAddress,,,,,,,,199,299,1,R,,,Spring,St,,199 Spring St,,Akron,,Ohio,44304,,USA,ENG,0.0,-81.509935,41.089363,-81.509935,41.089363,-81.511935,-81.507935,41.087363,41.091363,199 SPRING ST,,Akron,,,44304,,,10012,9025014,199 SPRING ST,Akron,44304,,,0,0,2640.0
518,17463,USA.PointAddress,00:00:00,100.0,00:00:00,"475 E North St, Akron, Ohio, 44304",PointAddress,,,,,,,,475,,,R,E,,North,St,,475 E North St,,Akron,,Ohio,44304,,USA,ENG,0.0,-81.499711,41.089368,-81.499751,41.08974,-81.500711,-81.498711,41.088368,41.090368,475 E NORTH ST,,Akron,,,44304,,,17463,11019414,475 E NORTH ST,Akron,44304,,,0,0,2640.0
519,9845,USA.StreetAddress,00:00:00,100.0,00:00:00,"193 Spring St, Akron, Ohio, 44304",StreetAddress,,,,,,,,193,299,1,R,,,Spring,St,,193 Spring St,,Akron,,Ohio,44304,,USA,ENG,0.0,-81.510059,41.089373,-81.510059,41.089373,-81.512059,-81.508059,41.087373,41.091373,193 SPRING ST,,Akron,,,44304,,,9845,10017892,193 SPRING ST,Akron,44304,,,0,0,2640.0
520,9797,USA.StreetAddress,00:00:00,100.0,00:00:00,"191 Spring St, Akron, Ohio, 44304",StreetAddress,,,,,,,,191,299,1,R,,,Spring,St,,191 Spring St,,Akron,,Ohio,44304,,USA,ENG,0.0,-81.510101,41.089377,-81.510101,41.089377,-81.512101,-81.508101,41.087377,41.091377,191 SPRING ST,,Akron,,,44304,,,9797,10019831,191 SPRING ST,Akron,44304,,,0,0,2640.0
521,11012,USA.PointAddress,00:00:00,90.92,00:00:00,"235 Smith St, Akron, Ohio, 44303",PointAddress,,,,,,,,235,,,R,,,Smith,St,,235 Smith St,,Akron,,Ohio,44303,,USA,ENG,0.0,-81.524401,41.089377,-81.524431,41.0898,-81.525401,-81.523401,41.088377,41.090377,235 SMITH,,,,,44303,,,11012,96-033185,235 SMITH,,44303,,,0,0,2640.0
522,11013,USA.PointAddress,00:00:00,100.0,00:00:00,"235 Smith St, Akron, Ohio, 44303",PointAddress,,,,,,,,235,,,R,,,Smith,St,,235 Smith St,,Akron,,Ohio,44303,,USA,ENG,0.0,-81.524401,41.089377,-81.524431,41.0898,-81.525401,-81.523401,41.088377,41.090377,235 SMITH ST,,Akron,,,44303,,,11013,8005437,235 SMITH ST,Akron,44303,,,0,0,2640.0
523,8723,USA.StreetAddress,00:00:00,90.92,00:00:00,"164 Spring St, Akron, Ohio, 44304",StreetAddress,,,,,,,,164,298,2,L,,,Spring,St,,164 Spring St,,Akron,,Ohio,44304,,USA,ENG,0.0,-81.51067,41.089377,-81.51067,41.089377,-81.51267,-81.50867,41.087377,41.091377,164 SPRING,,,,,44304,,,8723,00-014681,164 SPRING,,44304,,,0,0,2640.0
524,12342,USA.StreetAddress,00:00:00,100.0,00:00:00,"291 E North St, Akron, Ohio, 44304",StreetAddress,,,,,,,,291,329,257,R,E,,North,St,,291 E North St,,Akron,,Ohio,44304,,USA,ENG,0.0,-81.506194,41.089378,-81.506194,41.089378,-81.507194,-81.505194,41.088378,41.090378,291 E NORTH ST,,Akron,,,44304,,,12342,14025069,291 E NORTH ST,Akron,44304,,,0,0,2640.0
525,12031,USA.StreetAddress,00:00:00,100.0,00:00:00,"277 Spring St, Akron, Ohio, 44304",StreetAddress,,,,,,,,277,299,1,R,,,Spring,St,,277 Spring St,,Akron,,Ohio,44304,,USA,ENG,0.0,-81.508388,41.089383,-81.508388,41.089383,-81.510388,-81.506388,41.087383,41.091383,277 SPRING ST,,Akron,,,44304,,,12031,12028549,277 SPRING ST,Akron,44304,,,0,0,2640.0
526,12240,USA.StreetAddress,00:00:00,100.0,00:00:00,"287 E North St, Akron, Ohio, 44304",StreetAddress,,,,,,,,287,329,257,R,E,,North,St,,287 E North St,,Akron,,Ohio,44304,,USA,ENG,0.0,-81.506288,41.0894,-81.506288,41.0894,-81.507288,-81.505288,41.0884,41.0904,287 E NORTH ST,,Akron,,,44304,,,12240,14027522,287 E NORTH ST,Akron,44304,,,0,0,2640.0
527,12157,USA.StreetAddress,00:00:00,100.0,00:00:00,"283 E North St, Akron, Ohio, 44304",StreetAddress,,,,,,,,283,329,257,R,E,,North,St,,283 E North St,,Akron,,Ohio,44304,,USA,ENG,0.0,-81.506382,41.089421,-81.506382,41.089421,-81.507382,-81.505382,41.088421,41.090421,283 E NORTH ST,,Akron,,,44304,,,12157,10026833,283 E NORTH ST,Akron,44304,,,0,0,2640.0
528,12575,USA.StreetName,00:00:00,100.0,00:00:00,"Spring St, Akron, Ohio, 44304",StreetName,,,,,,,,,,,,,,Spring,St,,Spring St,,Akron,,Ohio,44304,,USA,ENG,0.0,-81.510958,41.089438,-81.510958,41.089438,-81.513958,-81.507958,41.086438,41.092438,301 SPRING ST,,Akron,,,44304,,,12575,9004879,301 SPRING ST,Akron,44304,,,0,0,2640.0
529,12610,USA.StreetName,00:00:00,100.0,00:00:00,"Spring St, Akron, Ohio, 44304",StreetName,,,,,,,,,,,,,,Spring,St,,Spring St,,Akron,,Ohio,44304,,USA,ENG,0.0,-81.510958,41.089438,-81.510958,41.089438,-81.513958,-81.507958,41.086438,41.092438,303 SPRING ST,,Akron,,,44304,,,12610,8010910,303 SPRING ST,Akron,44304,,,0,0,2640.0
530,12056,USA.StreetAddress,00:00:00,100.0,00:00:00,"279 E North St, Akron, Ohio, 44304",StreetAddress,,,,,,,,279,329,257,R,E,,North,St,,279 E North St,,Akron,,Ohio,44304,,USA,ENG,0.0,-81.506476,41.089442,-81.506476,41.089442,-81.507476,-81.505476,41.088442,41.090442,279 E NORTH ST,,Akron,,,44304,,,12056,9028399,279 E NORTH ST,Akron,44304,,,0,0,2640.0
531,6934,USA.StreetAddress,00:00:00,90.92,00:00:00,"138 Spring St, Akron, Ohio, 44304",StreetAddress,,,,,,,,138,298,2,L,,,Spring,St,,138 Spring St,,Akron,,Ohio,44304,,USA,ENG,0.0,-81.511214,41.089452,-81.511214,41.089452,-81.513214,-81.509214,41.087452,41.091452,138 SPRING CT APT A,,,,,44304,,,6934,98-007735,138 SPRING CT APT A,,44304,,,0,0,2640.0
532,12167,USA.StreetAddress,00:00:00,100.0,00:00:00,"283 Spring St, Akron, Ohio, 44304",StreetAddress,,,,,,,,283,299,1,R,,,Spring,St,,283 Spring St,,Akron,,Ohio,44304,,USA,ENG,0.0,-81.508315,41.08946,-81.508315,41.08946,-81.510315,-81.506315,41.08746,41.09146,283 SPRING ST,,Akron,,,44304,,,12167,10020197,283 SPRING ST,Akron,44304,,,0,0,2640.0
533,11750,USA.PointAddress,00:00:00,100.0,00:00:00,"265 E North St, Akron, Ohio, 44304",PointAddress,,,,,,,,265,,,R,E,,North,St,,265 E North St,,Akron,,Ohio,44304,,USA,ENG,0.0,-81.506615,41.089477,-81.506541,41.08968,-81.507615,-81.505615,41.088477,41.090477,265 E NORTH ST,,Akron,,,44304,,,11750,11016646,265 E NORTH ST,Akron,44304,,,0,0,2640.0
534,11880,USA.StreetAddress,00:00:00,100.0,00:00:00,"271 E North St, Akron, Ohio, 44304",StreetAddress,,,,,,,,271,329,257,R,E,,North,St,,271 E North St,,Akron,,Ohio,44304,,USA,ENG,0.0,-81.506664,41.089485,-81.506664,41.089485,-81.507664,-81.505664,41.088485,41.090485,271 E NORTH ST,,Akron,,,44304,,,11880,12012137,271 E NORTH ST,Akron,44304,,,0,0,2640.0
535,11787,USA.StreetAddress,00:00:00,100.0,00:00:00,"267 E North St, Akron, Ohio, 44304",StreetAddress,,,,,,,,267,329,257,R,E,,North,St,,267 E North St,,Akron,,Ohio,44304,,USA,ENG,0.0,-81.506758,41.089507,-81.506758,41.089507,-81.507758,-81.505758,41.088507,41.090507,267 E NORTH ST,,Akron,,,44304,,,11787,10011872,267 E NORTH ST,Akron,44304,,,0,0,2640.0
536,4288,USA.StreetAddress,00:00:00,100.0,00:00:00,"120 Spring St, Akron, Ohio, 44304",StreetAddress,,,,,,,,120,298,2,L,,,Spring,St,,120 Spring St,,Akron,,Ohio,44304,,USA,ENG,0.0,-81.511586,41.089516,-81.511586,41.089516,-81.513586,-81.509586,41.087516,41.091516,120 SPRING ST,,,,,44304,,,4288,98-038702,120 SPRING ST,,44304,,,0,0,2640.0
537,11660,USA.StreetAddress,00:00:00,100.0,00:00:00,"263 E North St, Akron, Ohio, 44304",StreetAddress,,,,,,,,263,329,257,R,E,,North,St,,263 E North St,,Akron,,Ohio,44304,,USA,ENG,0.0,-81.506851,41.089528,-81.506851,41.089528,-81.507851,-81.505851,41.088528,41.090528,263 E NORTH ST,,Akron,,,44304,,,11660,14017880,263 E NORTH ST,Akron,44304,,,0,0,2640.0
538,11434,USA.PointAddress,00:00:00,100.0,00:00:00,"253 E North St, Akron, Ohio, 44304",PointAddress,,,,,,,,253,,,L,E,,North,St,,253 E North St,,Akron,,Ohio,44304,,USA,ENG,0.0,-81.506935,41.089536,-81.506361,41.0902,-81.507935,-81.505935,41.088536,41.090536,253 E NORTH ST,,Akron,,,44304,,,11434,11016737,253 E NORTH ST,Akron,44304,,,0,0,2640.0
539,21422,USA.PointAddress,00:00:00,100.0,00:00:00,"62 N Maple St, Akron, Ohio, 44303",PointAddress,,,,,,,,62,,,L,N,,Maple,St,,62 N Maple St,,Akron,,Ohio,44303,,USA,ENG,0.0,-81.522277,41.089551,-81.522531,41.08971,-81.523277,-81.521277,41.088551,41.090551,62 N MAPLE ST,,,,,44303,,,21422,98-005547,62 N MAPLE ST,,44303,,,0,0,2640.0
540,21424,USA.PointAddress,00:00:00,100.0,00:00:00,"62 N Maple St, Akron, Ohio, 44303",PointAddress,,,,,,,,62,,,L,N,,Maple,St,,62 N Maple St,,Akron,,Ohio,44303,,USA,ENG,0.0,-81.522277,41.089551,-81.522531,41.08971,-81.523277,-81.521277,41.088551,41.090551,62 N MAPLE ST APT 2,,,,,44303,,,21424,03-016024,62 N MAPLE ST APT 2,,44303,,,0,0,2640.0
541,14148,USA.PointAddress,00:00:00,100.0,00:00:00,"369 Harris St, Akron, Ohio, 44304",PointAddress,,,,,,,,369,,,L,,,Harris,St,,369 Harris St,,Akron,,Ohio,44304,,USA,ENG,0.0,-81.501557,41.089575,-81.501621,41.08965,-81.502557,-81.500557,41.088575,41.090575,369 HARRIS ST,,Akron,,,44304,,,14148,9028989,369 HARRIS ST,Akron,44304,,,0,0,2640.0
542,9951,USA.PointAddress,00:00:00,100.0,00:00:00,"197 King Ct, Akron, Ohio, 44303",PointAddress,,,,,,,,197,,,R,,,King,Ct,,197 King Ct,,Akron,,Ohio,44303,,USA,ENG,0.0,-81.522981,41.089587,-81.522861,41.08969,-81.523981,-81.521981,41.088587,41.090587,197 KING CT,,,,,44303,,,9951,97-003425,197 KING CT,,44303,,,0,0,2640.0
543,13747,USA.PointAddress,00:00:00,100.0,00:00:00,"353 Harris St, Akron, Ohio, 44304",PointAddress,,,,,,,,353,,,L,,,Harris,St,,353 Harris St,,Akron,,Ohio,44304,,USA,ENG,0.0,-81.501456,41.089635,-81.501501,41.09,-81.502456,-81.500456,41.088635,41.090635,353 HARRIS ST,,Akron,,,44304,,,13747,10017500,353 HARRIS ST,Akron,44304,,,0,0,2640.0
544,10003,USA.PointAddress,00:00:00,100.0,00:00:00,"199 King Ct, Akron, Ohio, 44303",PointAddress,,,,,,,,199,,,R,,,King,Ct,,199 King Ct,,Akron,,Ohio,44303,,USA,ENG,0.0,-81.52308,41.089636,-81.523041,41.08968,-81.52408,-81.52208,41.088636,41.090636,199 KING CT,,,,,44303,,,10003,99-033918,199 KING CT,,44303,,,0,0,2640.0
545,10369,USA.PointAddress,00:00:00,100.0,00:00:00,"210 King Ct, Akron, Ohio, 44303",PointAddress,,,,,,,,210,,,L,,,King,Ct,,210 King Ct,,Akron,,Ohio,44303,,USA,ENG,0.0,-81.523473,41.089744,-81.523571,41.08961,-81.524473,-81.522473,41.088744,41.090744,210 KING CT,,,,,44303,,,10369,96-018458,210 KING CT,,44303,,,0,0,2640.0
546,10370,USA.PointAddress,00:00:00,100.0,00:00:00,"210 King Ct, Akron, Ohio, 44303",PointAddress,,,,,,,,210,,,L,,,King,Ct,,210 King Ct,,Akron,,Ohio,44303,,USA,ENG,0.0,-81.523473,41.089744,-81.523571,41.08961,-81.524473,-81.522473,41.088744,41.090744,210 KING CT APT 4,,,,,44303,,,10370,03-024531,210 KING CT APT 4,,44303,,,0,0,2640.0
547,10835,USA.StreetAddress,00:00:00,100.0,00:00:00,"229 E North St, Akron, Ohio, 44304",StreetAddress,,,,,,,,229,225,247,L,E,,North,St,,229 E North St,,Akron,,Ohio,44304,,USA,ENG,0.0,-81.507059,41.089756,-81.507059,41.089756,-81.508059,-81.506059,41.088756,41.090756,229 E NORTH ST,,Akron,,,44304,,,10835,11001395,229 E NORTH ST,Akron,44304,,,0,0,2640.0
548,10742,USA.PointAddress,00:00:00,100.0,00:00:00,"225 E North St, Akron, Ohio, 44304",PointAddress,,,,,,,,225,,,L,E,,North,St,,225 E North St,,Akron,,Ohio,44304,,USA,ENG,0.0,-81.507044,41.089772,-81.507191,41.09023,-81.508044,-81.506044,41.088772,41.090772,225 E NORTH ST,,Akron,,,44304,,,10742,8025336,225 E NORTH ST,Akron,44304,,,0,0,2640.0
549,10744,USA.PointAddress,00:00:00,100.0,00:00:00,"225 E North St, Akron, Ohio, 44304",PointAddress,,,,,,,,225,,,L,E,,North,St,,225 E North St,,Akron,,Ohio,44304,,USA,ENG,0.0,-81.507044,41.089772,-81.507191,41.09023,-81.508044,-81.506044,41.088772,41.090772,225 E NORTH ST #B,,,,,44304,,,10744,96-014606,225 E NORTH ST #B,,44304,,,0,0,2640.0
550,10636,USA.StreetAddress,00:00:00,100.0,00:00:00,"220 E North St, Akron, Ohio, 44304",StreetAddress,,,,,,,,220,220,146,L,E,,North,St,,220 E North St,,Akron,,Ohio,44304,,USA,ENG,0.0,-81.508335,41.089785,-81.508335,41.089785,-81.510335,-81.506335,41.087785,41.091785,220 E NORTH ST,,,,,44304,,,10636,96-018475,220 E NORTH ST,,44304,,,0,0,2640.0
551,10637,USA.StreetAddress,00:00:00,100.0,00:00:00,"220 E North St, Akron, Ohio, 44304",StreetAddress,,,,,,,,220,220,146,L,E,,North,St,,220 E North St,,Akron,,Ohio,44304,,USA,ENG,0.0,-81.508335,41.089785,-81.508335,41.089785,-81.510335,-81.506335,41.087785,41.091785,220 E NORTH ST  D,,,,,44304,,,10637,04-034173,220 E NORTH ST  D,,44304,,,0,0,2640.0
552,10639,USA.StreetAddress,00:00:00,100.0,00:00:00,"220 E North St, Akron, Ohio, 44304",StreetAddress,,,,,,,,220,220,146,L,E,,North,St,,220 E North St,,Akron,,Ohio,44304,,USA,ENG,0.0,-81.508335,41.089785,-81.508335,41.089785,-81.510335,-81.506335,41.087785,41.091785,220 E NORTH ST APT A,,,,,44304,,,10639,01-009375,220 E NORTH ST APT A,,44304,,,0,0,2640.0
553,11000,USA.PointAddress,00:00:00,100.0,00:00:00,"235 E North St, Akron, Ohio, 44304",PointAddress,,,,,,,,235,,,L,E,,North,St,,235 E North St,,Akron,,Ohio,44304,,USA,ENG,0.0,-81.506887,41.089838,-81.507131,41.08995,-81.507887,-81.505887,41.088838,41.090838,235 E NORTH ST,,Akron,,,44304,,,11000,13010992,235 E NORTH ST,Akron,44304,,,0,0,2640.0
554,10453,USA.StreetAddress,00:00:00,100.0,00:00:00,"214 E North St, Akron, Ohio, 44304",StreetAddress,,,,,,,,214,220,146,L,E,,North,St,,214 E North St,,Akron,,Ohio,44304,,USA,ENG,0.0,-81.508554,41.08984,-81.508554,41.08984,-81.510554,-81.506554,41.08784,41.09184,214 E NORTH ST,,Akron,,,44304,,,10453,10019212,214 E NORTH ST,Akron,44304,,,0,0,2640.0
555,11041,USA.StreetAddress,00:00:00,100.0,00:00:00,"237 E North St, Akron, Ohio, 44304",StreetAddress,,,,,,,,237,225,247,L,E,,North,St,,237 E North St,,Akron,,Ohio,44304,,USA,ENG,0.0,-81.506806,41.089857,-81.506806,41.089857,-81.507806,-81.505806,41.088857,41.090857,237 E NORTH ST,,Akron,,,44304,,,11041,12010202,237 E NORTH ST,Akron,44304,,,0,0,2640.0
556,10421,USA.StreetAddress,00:00:00,100.0,00:00:00,"212 E North St, Akron, Ohio, 44304",StreetAddress,,,,,,,,212,220,146,L,E,,North,St,,212 E North St,,Akron,,Ohio,44304,,USA,ENG,0.0,-81.508627,41.089859,-81.508627,41.089859,-81.510627,-81.506627,41.087859,41.091859,212 E NORTH ST,,Akron,,,44304,,,10421,9011111,212 E NORTH ST,Akron,44304,,,0,0,2640.0
557,10424,USA.StreetAddress,00:00:00,100.0,00:00:00,"212 E North St, Akron, Ohio, 44304",StreetAddress,,,,,,,,212,220,146,L,E,,North,St,,212 E North St,,Akron,,Ohio,44304,,USA,ENG,0.0,-81.508627,41.089859,-81.508627,41.089859,-81.510627,-81.506627,41.087859,41.091859,212 E NORTH ST APT E,,,,,44304,,,10424,97-030610,212 E NORTH ST APT E,,44304,,,0,0,2640.0
558,10431,USA.StreetAddress,00:00:00,92.43,00:00:00,"212 E North St, Akron, Ohio, 44304",StreetAddress,,,,,,,,212,220,146,L,E,,North,St,,212 E North St,,Akron,,Ohio,44304,,USA,ENG,0.0,-81.508627,41.089859,-81.508627,41.089859,-81.510627,-81.506627,41.087859,41.091859,212 NORTH ST APT A,,,,,44304,,,10431,03-008461,212 NORTH ST APT A,,44304,,,0,0,2640.0
559,10365,USA.StreetAddress,00:00:00,100.0,00:00:00,"210 E North St, Akron, Ohio, 44304",StreetAddress,,,,,,,,210,220,146,L,E,,North,St,,210 E North St,,Akron,,Ohio,44304,,USA,ENG,0.0,-81.5087,41.089877,-81.5087,41.089877,-81.5107,-81.5067,41.087877,41.091877,210 E NORTH ST,,Akron,,,44304,,,10365,11013777,210 E NORTH ST,Akron,44304,,,0,0,2640.0
560,11244,USA.PointAddress,00:00:00,100.0,00:00:00,"245 E North St, Akron, Ohio, 44304",PointAddress,,,,,,,,245,,,L,E,,North,St,,245 E North St,,Akron,,Ohio,44304,,USA,ENG,0.0,-81.506547,41.089908,-81.506631,41.09005,-81.507547,-81.505547,41.088908,41.090908,245 E NORTH ST,,Akron,,,44304,,,11244,10016118,245 E NORTH ST,Akron,44304,,,0,0,2640.0
561,11284,USA.StreetAddress,00:00:00,100.0,00:00:00,"247 E North St, Akron, Ohio, 44304",StreetAddress,,,,,,,,247,225,247,L,E,,North,St,,247 E North St,,Akron,,Ohio,44304,,USA,ENG,0.0,-81.506475,41.089916,-81.506475,41.089916,-81.507475,-81.505475,41.088916,41.090916,247 E NORTH ST,,Akron,,,44304,,,11284,10007487,247 E NORTH ST,Akron,44304,,,0,0,2640.0
562,10195,USA.StreetAddress,00:00:00,90.92,00:00:00,"204 E North St, Akron, Ohio, 44304",StreetAddress,,,,,,,,204,220,146,L,E,,North,St,,204 E North St,,Akron,,Ohio,44304,,USA,ENG,0.0,-81.508919,41.089933,-81.508919,41.089933,-81.510919,-81.506919,41.087933,41.091933,204 E NORTH,,,,,44304,,,10195,97-014548,204 E NORTH,,44304,,,0,0,2640.0
563,10196,USA.StreetAddress,00:00:00,100.0,00:00:00,"204 E North St, Akron, Ohio, 44304",StreetAddress,,,,,,,,204,220,146,L,E,,North,St,,204 E North St,,Akron,,Ohio,44304,,USA,ENG,0.0,-81.508919,41.089933,-81.508919,41.089933,-81.510919,-81.506919,41.087933,41.091933,204 E NORTH ST,,,,,44304,,,10196,96-012133,204 E NORTH ST,,44304,,,0,0,2640.0
564,10198,USA.StreetAddress,00:00:00,100.0,00:00:00,"204 E North St, Akron, Ohio, 44304",StreetAddress,,,,,,,,204,220,146,L,E,,North,St,,204 E North St,,Akron,,Ohio,44304,,USA,ENG,0.0,-81.508919,41.089933,-81.508919,41.089933,-81.510919,-81.506919,41.087933,41.091933,204 E NORTH ST APT C,,,,,44304,,,10198,98-005739,204 E NORTH ST APT C,,44304,,,0,0,2640.0
565,10199,USA.StreetAddress,00:00:00,100.0,00:00:00,"204 E North St, Akron, Ohio, 44304",StreetAddress,,,,,,,,204,220,146,L,E,,North,St,,204 E North St,,Akron,,Ohio,44304,,USA,ENG,0.0,-81.508919,41.089933,-81.508919,41.089933,-81.510919,-81.506919,41.087933,41.091933,204 E NORTH ST APT F,,,,,44304,,,10199,03-020846,204 E NORTH ST APT F,,44304,,,0,0,2640.0
566,10200,USA.StreetAddress,00:00:00,100.0,00:00:00,"204 E North St, Akron, Ohio, 44304",StreetAddress,,,,,,,,204,220,146,L,E,,North,St,,204 E North St,,Akron,,Ohio,44304,,USA,ENG,0.0,-81.508919,41.089933,-81.508919,41.089933,-81.510919,-81.506919,41.087933,41.091933,204 E NORTH ST APT H,,,,,44304,,,10200,03-019054,204 E NORTH ST APT H,,44304,,,0,0,2640.0
567,10303,USA.StreetAddress,00:00:00,100.0,00:00:00,"209 E North St, Akron, Ohio, 44304",StreetAddress,,,,,,,,209,221,145,R,E,,North,St,,209 E North St,,Akron,,Ohio,44304,,USA,ENG,0.0,-81.508739,41.089944,-81.508739,41.089944,-81.510739,-81.506739,41.087944,41.091944,209 E NORTH ST,,,,,44304,,,10303,96-021655,209 E NORTH ST,,44304,,,0,0,2640.0
568,10304,USA.StreetAddress,00:00:00,100.0,00:00:00,"209 E North St, Akron, Ohio, 44304",StreetAddress,,,,,,,,209,221,145,R,E,,North,St,,209 E North St,,Akron,,Ohio,44304,,USA,ENG,0.0,-81.508739,41.089944,-81.508739,41.089944,-81.510739,-81.506739,41.087944,41.091944,209 E NORTH ST APT B,,,,,44304,,,10304,97-026492,209 E NORTH ST APT B,,44304,,,0,0,2640.0
569,10305,USA.StreetAddress,00:00:00,100.0,00:00:00,"209 E North St, Akron, Ohio, 44304",StreetAddress,,,,,,,,209,221,145,R,E,,North,St,,209 E North St,,Akron,,Ohio,44304,,USA,ENG,0.0,-81.508739,41.089944,-81.508739,41.089944,-81.510739,-81.506739,41.087944,41.091944,209 E NORTH ST APT D,,,,,44304,,,10305,97-040271,209 E NORTH ST APT D,,44304,,,0,0,2640.0
570,10079,USA.StreetAddress,00:00:00,100.0,00:00:00,"200 E North St, Akron, Ohio, 44304",StreetAddress,,,,,,,,200,220,146,L,E,,North,St,,200 E North St,,Akron,,Ohio,44304,,USA,ENG,0.0,-81.509065,41.08997,-81.509065,41.08997,-81.511065,-81.507065,41.08797,41.09197,200 E NORTH ST,,Akron,,,44304,,,10079,9019485,200 E NORTH ST,Akron,44304,,,0,0,2640.0
571,10080,USA.StreetAddress,00:00:00,100.0,00:00:00,"200 E North St, Akron, Ohio, 44304",StreetAddress,,,,,,,,200,220,146,L,E,,North,St,,200 E North St,,Akron,,Ohio,44304,,USA,ENG,0.0,-81.509065,41.08997,-81.509065,41.08997,-81.511065,-81.507065,41.08797,41.09197,200 E NORTH ST  APT A,,,,,44304,,,10080,04-023009,200 E NORTH ST  APT A,,44304,,,0,0,2640.0
572,10081,USA.StreetAddress,00:00:00,100.0,00:00:00,"200 E North St, Akron, Ohio, 44304",StreetAddress,,,,,,,,200,220,146,L,E,,North,St,,200 E North St,,Akron,,Ohio,44304,,USA,ENG,0.0,-81.509065,41.08997,-81.509065,41.08997,-81.511065,-81.507065,41.08797,41.09197,"200 E NORTH ST ""D""",,,,,44304,,,10081,01-023232,"200 E NORTH ST ""D""",,44304,,,0,0,2640.0
573,10085,USA.StreetAddress,00:00:00,100.0,00:00:00,"200 E North St, Akron, Ohio, 44304",StreetAddress,,,,,,,,200,220,146,L,E,,North,St,,200 E North St,,Akron,,Ohio,44304,,USA,ENG,0.0,-81.509065,41.08997,-81.509065,41.08997,-81.511065,-81.507065,41.08797,41.09197,200 E NORTH ST APT G,,,,,44304,,,10085,01-011847,200 E NORTH ST APT G,,44304,,,0,0,2640.0
